Player,Nation,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Straight,Cmp,Off,Blocks,Position 1,Position 2
Max Aarons,ENG,Bournemouth,eng Premier League,23 years,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,Defender,
Brenden Aaronson,USA,Union Berlin,de Bundesliga,22 years,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21,Midfielder,Forward
Paxten Aaronson,USA,Eintracht Frankfurt,de Bundesliga,19 years,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0,Midfielder,
Keyliane Abdallah,FRA,Marseille,fr Ligue 1,17 years,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Forward,
Yunis Abdelhamid,MAR,Reims,fr Ligue 1,35 years,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20,Defender,
Salis Abdul Samed,GHA,Lens,fr Ligue 1,23 years,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17,Midfielder,
Nabil Aberdin,FRA,Getafe,es La Liga,20 years,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,Defender,
Laurent Abergel,FRA,Lorient,fr Ligue 1,30 years,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25,Midfielder,
Matthis Abline,FRA,Nantes,fr Ligue 1,20 years,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11,Forward,
Abner,BRA,Betis,es La Liga,23 years,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,Defender,
Zakaria Aboukhlal,MAR,Toulouse,fr Ligue 1,23 years,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7,Midfielder,Forward
Abdel Abqar,MAR,Alavés,es La Liga,24 years,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,Defender,
Tammy Abraham,ENG,Roma,it Serie A,25 years,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1,Forward,
Francesco Acerbi,ITA,Inter,it Serie A,35 years,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5,Defender,
Joshua Acheampong,ENG,Chelsea,eng Premier League,17 years,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Defender,
Marcos Acuña,ARG,Sevilla,es La Liga,31 years,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16,Defender,
Akor Adams,NGA,Montpellier,fr Ligue 1,23 years,25.0,385,375,10,0,2,1,12,1,0,0,0,0,250,0,20,Forward,
Tyler Adams,USA,Bournemouth,eng Premier League,24 years,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,Midfielder,
Junior Adamu,AUT,Freiburg,de Bundesliga,22 years,1.2,30,29,1,0,0,0,1,0,0,0,0,0,18,0,0,Forward,Midfielder
Sargis Adamyan,ARM,Köln,de Bundesliga,30 years,8.9,189,166,22,1,0,2,4,2,0,0,0,0,132,1,6,Forward,Midfielder
Tosin Adarabioyo,ENG,Fulham,eng Premier League,25 years,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,Defender,
Elijah Adebayo,ENG,Luton Town,eng Premier League,25 years,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5,Forward,
Karim Adeyemi,GER,Dortmund,de Bundesliga,21 years,10.1,299,280,19,3,0,1,25,11,4,1,2,0,218,0,16,Forward,Midfielder
Simon Adingra,CIV,Brighton,eng Premier League,21 years,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29,Forward,
Nathaniel Adjei,GHA,Lorient,fr Ligue 1,20 years,13.8,669,628,40,27,0,3,2,11,0,0,0,0,578,1,5,Defender,
Amine Adli,MAR,Leverkusen,de Bundesliga,23 years,10.0,459,447,11,2,2,1,23,7,0,0,0,0,367,1,10,Midfielder,Forward
Yacine Adli,FRA,Milan,it Serie A,23 years,15.6,1300,1220,78,36,3,16,50,7,35,11,12,0,1125,2,14,Midfielder,
Adryelson,BRA,Lyon,fr Ligue 1,25 years,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Defender,Forward
Adson,BRA,Nantes,fr Ligue 1,22 years,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2,Midfielder,Forward
Michel Aebischer,SUI,Bologna,it Serie A,26 years,24.8,1503,1447,53,34,3,5,12,13,6,3,0,0,1370,3,17,Midfielder,
Emmanuel Agbadou,CIV,Reims,fr Ligue 1,26 years,28.8,1838,1728,106,50,5,11,6,48,0,0,0,0,1599,4,11,Defender,
Julen Agirrezabala,ESP,Athletic Club,es La Liga,22 years,2.6,100,72,28,6,0,0,0,0,0,0,0,0,67,0,1,Goalkeeper,
Lucien Agoume,FRA,Inter,it Serie A,21 years,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Midfielder,
Lucien Agoume,FRA,Sevilla,es La Liga,21 years,8.6,360,356,4,4,1,2,2,0,0,0,0,0,301,0,6,Midfielder,
Felix Agu,GER,Werder Bremen,de Bundesliga,23 years,17.9,669,538,128,3,0,2,46,124,1,0,0,0,488,3,30,Defender,Midfielder
Nayef Aguerd,MAR,West Ham,eng Premier League,27 years,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,Defender,
Ruben Aguilar,FRA,Lens,fr Ligue 1,30 years,21.4,1282,1094,185,17,3,1,75,168,0,0,0,0,1044,3,35,Defender,
Brandon Aguilera,CRC,Nottingham Forest,eng Premier League,20 years,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,Forward,
Naouirou Ahamada,FRA,Crystal Palace,eng Premier League,21 years,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8,Midfielder,Forward
Anel Ahmedhodžić,BIH,Sheffield Utd,eng Premier League,24 years,29.4,993,955,36,11,1,2,6,25,0,0,0,0,749,2,20,Defender,
Joseph Aidoo,GHA,Celta Vigo,es La Liga,27 years,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0,Defender,
Ola Aina,NGA,Nottingham Forest,eng Premier League,26 years,18.8,803,650,150,12,2,2,28,138,0,0,0,0,605,3,17,Defender,
Rayan Aït-Nouri,ALG,Wolves,eng Premier League,22 years,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24,Defender,Midfielder
Tosin Aiyegun,BEN,Lorient,fr Ligue 1,25 years,10.0,203,193,7,0,0,0,8,1,0,0,0,0,154,3,4,Midfielder,Forward
Kristoffer Ajer,NOR,Brentford,eng Premier League,25 years,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11,Defender,
Ludovic Ajorque,FRA,Mainz 05,de Bundesliga,29 years,15.1,453,423,28,2,2,4,3,0,0,0,0,0,318,2,6,Forward,
Manuel Akanji,SUI,Manchester City,eng Premier League,28 years,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10,Defender,Midfielder
Marley Aké,FRA,Udinese,it Serie A,22 years,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,
Nathan Aké,NED,Manchester City,eng Premier League,28 years,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14,Defender,
Ilias Akhomach,MAR,Villarreal,es La Liga,19 years,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14,Midfielder,Forward
Sergio Akieme,ESP,Almería,es La Liga,25 years,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22,Defender,
Sergio Akieme,ESP,Reims,fr Ligue 1,25 years,9.1,350,287,61,3,0,0,21,57,0,0,0,0,277,2,8,Defender,
Ebenezer Akinsanmiro,NGA,Inter,it Serie A,18 years,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0,Midfielder,
Maghnes Akliouche,FRA,Monaco,fr Ligue 1,21 years,17.9,833,773,54,12,8,2,54,3,37,14,8,0,645,6,24,Midfielder,Forward
Paul Akouokou,CIV,Betis,es La Liga,25 years,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Midfielder,
Paul Akouokou,CIV,Lyon,fr Ligue 1,25 years,3.4,185,183,2,2,0,0,0,0,0,0,0,0,158,0,2,Midfielder,
Jean-Daniel Akpa-Akpro,CIV,Monza,it Serie A,30 years,7.8,263,260,3,1,1,1,1,0,0,0,0,0,220,0,11,Midfielder,
David Akpan Ankeye,NGA,Genoa,it Serie A,21 years,0.6,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,Forward,
Kevin Akpoguma,NGA,Hoffenheim,de Bundesliga,28 years,12.2,711,680,30,17,0,2,4,13,0,0,0,0,611,1,6,Defender,
David Alaba,AUT,Real Madrid,es La Liga,31 years,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,Defender,
Luis Alberto,ESP,Lazio,it Serie A,30 years,25.7,1679,1452,215,71,14,6,150,13,114,45,54,0,1303,12,28,Midfielder,
Raúl Albiol,ESP,Villarreal,es La Liga,37 years,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8,Defender,
Thiago Alcántara,ESP,Liverpool,eng Premier League,32 years,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0,Midfielder,
Carlos Alcaraz,ARG,Juventus,it Serie A,20 years,4.2,165,155,10,7,2,1,1,2,1,0,0,0,143,0,3,Midfielder,
Rubén Alcaraz,ESP,Cádiz,es La Liga,32 years,34.8,1582,1462,106,85,1,42,36,7,8,1,7,0,1271,14,17,Midfielder,
Omar Alderete,PAR,Getafe,es La Liga,26 years,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11,Defender,
Iván Alejo,ESP,Cádiz,es La Liga,28 years,18.8,481,433,46,10,1,2,151,24,12,0,11,0,245,2,32,Midfielder,
Carles Aleñá,ESP,Getafe,es La Liga,25 years,11.3,396,359,36,17,1,4,33,5,14,13,1,0,308,1,12,Midfielder,
Trent Alexander-Arnold,ENG,Liverpool,eng Premier League,24 years,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23,Defender,
Aboubacar Ali,COM,Strasbourg,fr Ligue 1,17 years,1.4,34,34,0,0,0,0,6,0,0,0,0,0,22,0,1,Midfielder,Forward
Mohamed Ali Cho,FRA,Real Sociedad,es La Liga,19 years,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1,Forward,Midfielder
Mohamed Ali Cho,FRA,Nice,fr Ligue 1,19 years,9.6,268,245,22,6,1,0,44,0,16,8,7,0,193,1,8,Forward,
Faride Alidou,GER,Köln,de Bundesliga,22 years,14.2,305,293,12,0,0,2,39,7,1,0,1,0,196,0,17,Forward,Midfielder
Nabil Alioui,FRA,Le Havre,fr Ligue 1,24 years,11.2,358,289,66,17,6,1,54,1,36,23,13,0,228,3,14,Midfielder,Forward
Alisson,BRA,Liverpool,eng Premier League,30 years,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3,Goalkeeper,
Tadeo Allende,ARG,Celta Vigo,es La Liga,24 years,3.7,98,97,1,0,1,1,10,0,0,0,0,0,60,0,6,Midfielder,Forward
Jim Allevinah,GAB,Clermont Foot,fr Ligue 1,28 years,20.7,743,675,65,2,1,0,47,57,1,0,0,0,589,3,17,Midfielder,Defender
Domingos André Ribeiro Almeida,POR,Valencia,es La Liga,23 years,10.7,399,375,24,12,0,4,18,2,7,0,5,0,315,0,18,Forward,Midfielder
Miguel Almirón,PAR,Newcastle Utd,eng Premier League,29 years,21.5,801,788,10,2,5,0,24,7,1,0,0,0,668,3,16,Forward,
Pontus Almqvist,SWE,Lecce,it Serie A,24 years,23.4,478,472,6,2,1,0,21,3,1,1,0,0,351,0,19,Forward,Midfielder
Marcos Alonso,ESP,Barcelona,es La Liga,32 years,2.8,214,171,43,10,0,3,15,27,6,2,2,0,180,0,5,Defender,
Adrià Altimira,ESP,Villarreal,es La Liga,22 years,8.6,465,400,65,5,0,1,5,60,0,0,0,0,389,0,10,Defender,Midfielder
Sergi Altimira,ESP,Betis,es La Liga,21 years,6.3,320,315,3,1,0,4,1,1,1,1,0,0,289,2,3,Midfielder,
Edson Álvarez,MEX,West Ham,eng Premier League,25 years,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14,Midfielder,
Gastón Álvarez,URU,Getafe,es La Liga,23 years,28.2,1017,878,138,35,0,10,25,101,0,0,0,0,754,1,17,Defender,
Hugo Álvarez,ESP,Celta Vigo,es La Liga,20 years,8.5,455,379,73,8,4,1,22,58,7,1,5,1,380,3,10,Midfielder,Defender
Julián Álvarez,ARG,Manchester City,eng Premier League,23 years,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27,Midfielder,Forward
Yeray Álvarez,ESP,Athletic Club,es La Liga,28 years,12.8,710,674,32,30,2,8,1,1,0,0,0,0,572,4,7,Defender,
Skelly Alvero,FRA,Lyon,fr Ligue 1,21 years,4.7,193,190,2,2,1,1,2,0,0,0,0,0,159,1,2,Midfielder,
Skelly Alvero,FRA,Werder Bremen,de Bundesliga,21 years,1.4,76,75,1,1,0,1,0,0,0,0,0,0,59,0,2,Midfielder,
Papa Amadou Diallo,SEN,Metz,fr Ligue 1,19 years,9.9,257,255,2,1,2,0,14,1,0,0,0,0,167,0,7,Forward,
Selim Amallah,MAR,Valencia,es La Liga,26 years,6.7,164,162,2,0,2,0,4,0,0,0,0,0,120,0,5,Forward,Midfielder
Amath,SEN,Mallorca,es La Liga,27 years,4.4,113,110,2,1,2,0,7,1,0,0,0,0,76,1,4,Forward,Midfielder
Lorenzo Amatucci,ITA,Fiorentina,it Serie A,19 years,0.2,25,25,0,0,0,1,0,0,0,0,0,0,22,0,2,Midfielder,
Jordan Amavi,FRA,Brest,fr Ligue 1,29 years,1.0,54,43,11,3,0,0,1,8,0,0,0,0,47,0,1,Defender,
Zeki Amdouni,SUI,Burnley,eng Premier League,22 years,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19,Forward,
Kelvin Amian,FRA,Nantes,fr Ligue 1,25 years,8.9,350,266,84,8,1,0,14,76,0,0,0,0,268,0,15,Defender,
Bruno Amione,ARG,Hellas Verona,it Serie A,21 years,6.4,273,267,6,4,0,1,1,2,0,0,0,0,217,0,3,Defender,
Michael Amir Murillo,PAN,Marseille,fr Ligue 1,27 years,11.1,602,517,84,13,0,1,16,71,0,0,0,0,492,1,10,Defender,
Nadiem Amiri,GER,Mainz 05,de Bundesliga,26 years,14.6,798,612,181,80,2,3,126,9,88,32,44,0,567,5,11,Midfielder,
Nadiem Amiri,GER,Leverkusen,de Bundesliga,26 years,1.0,100,98,2,1,0,0,1,0,1,0,0,0,92,0,2,Midfielder,
Kofi Amoako,GER,Wolfsburg,de Bundesliga,18 years,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,
Sofyan Amrabat,MAR,Manchester Utd,eng Premier League,26 years,10.4,664,642,21,10,0,8,7,11,0,0,0,0,578,1,10,Midfielder,Defender
Joachim Andersen,DEN,Crystal Palace,eng Premier League,27 years,37.9,2209,2073,121,110,7,31,31,8,0,0,0,0,1731,15,22,Defender,
Elliot Anderson,ENG,Newcastle Utd,eng Premier League,20 years,11.4,460,431,29,3,4,1,19,25,1,0,0,0,370,0,9,Midfielder,Forward
Felipe Anderson,BRA,Lazio,it Serie A,30 years,30.8,1336,1299,29,5,5,6,57,18,6,1,4,0,1012,8,63,Forward,Midfielder
Benjamin André,FRA,Lille,fr Ligue 1,32 years,28.6,1919,1855,58,57,5,19,19,1,0,0,0,0,1598,6,34,Midfielder,
Komnen Andrić,SRB,Clermont Foot,fr Ligue 1,28 years,1.9,59,54,5,0,0,0,1,0,0,0,0,0,45,0,0,Forward,
Robert Andrich,GER,Leverkusen,de Bundesliga,28 years,18.8,1494,1458,34,32,5,4,14,2,0,0,0,0,1346,2,10,Midfielder,Defender
Miguel Ángel Rubio,ESP,Granada,es La Liga,25 years,17.3,775,745,29,24,1,4,0,1,0,0,0,0,622,1,11,Defender,
Angeliño,ESP,Roma,it Serie A,26 years,12.7,715,610,101,12,0,4,53,87,2,1,0,0,546,4,11,Defender,
Ângelo,BRA,Strasbourg,fr Ligue 1,18 years,12.2,426,410,15,3,4,1,42,4,5,3,1,0,300,1,13,Forward,Midfielder
Fabrizio Angileri,ARG,Getafe,es La Liga,29 years,1.8,103,96,7,1,0,2,8,6,0,0,0,0,68,0,5,Defender,Midfielder
Jaidon Anthony,ENG,Bournemouth,eng Premier League,23 years,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3,Forward,
Waldemar Anton,GER,Stuttgart,de Bundesliga,27 years,32.1,2624,2511,109,51,6,9,14,29,0,0,0,0,2330,4,16,Defender,
Michail Antonio,JAM,West Ham,eng Premier League,33 years,18.8,308,288,18,1,3,4,27,11,0,0,0,0,180,2,22,Forward,
Antony,BRA,Manchester Utd,eng Premier League,23 years,14.7,595,570,22,7,3,1,16,15,0,0,0,0,468,3,23,Forward,
Christopher Antwi-Adjei,GHA,Bochum,de Bundesliga,29 years,13.5,454,343,108,1,1,1,55,106,0,0,0,0,274,3,21,Forward,Midfielder
Houssem Aouar,ALG,Roma,it Serie A,25 years,8.4,359,344,15,4,0,0,10,3,8,5,2,0,300,0,8,Midfielder,Forward
Stredair Appuah,FRA,Nantes,fr Ligue 1,19 years,0.9,23,23,0,0,0,0,2,0,0,0,0,0,14,0,2,Forward,Midfielder
Mauro Arambarri,URU,Getafe,es La Liga,27 years,3.8,142,138,4,2,0,2,6,1,1,1,0,0,114,0,2,Midfielder,
Jon Aramburu,VEN,Real Sociedad,es La Liga,21 years,6.0,321,256,62,7,0,0,7,55,0,0,0,0,254,3,7,Defender,
Asaf Arania,ISR,Darmstadt 98,de Bundesliga,17 years,0.1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0,Midfielder,
Julian Araujo,MEX,Las Palmas,es La Liga,21 years,16.2,831,694,135,19,0,2,23,116,0,0,0,0,680,2,14,Defender,
Ronald Araújo,URU,Barcelona,es La Liga,24 years,22.2,1641,1540,93,45,3,14,8,37,0,0,0,0,1458,8,6,Defender,
Oliver Arblaster,ENG,Sheffield Utd,eng Premier League,19 years,10.5,441,409,29,13,1,2,7,0,6,3,0,0,351,3,9,Midfielder,
Cameron Archer,ENG,Sheffield Utd,eng Premier League,22 years,20.4,332,310,22,0,2,1,5,0,0,0,0,0,266,0,15,Forward,Midfielder
Cameron Archer,ENG,Aston Villa,eng Premier League,22 years,0.1,6,6,0,0,1,0,0,0,0,0,0,0,5,0,0,Midfielder,
Alphonse Areola,FRA,West Ham,eng Premier League,30 years,30.0,867,555,307,88,0,2,0,0,0,0,0,0,562,5,0,Goalkeeper,
Adu Ares,ESP,Athletic Club,es La Liga,21 years,2.9,104,103,1,0,0,1,11,0,1,1,0,0,79,0,5,Forward,
Jesús Areso,ESP,Osasuna,es La Liga,24 years,29.6,1368,1033,332,20,1,6,110,311,0,0,0,0,1021,3,48,Defender,
Simone Aresti,ITA,Cagliari,it Serie A,37 years,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,
Matias Arezo,URU,Granada,es La Liga,20 years,4.1,82,75,7,0,1,0,4,1,0,0,0,0,52,0,0,Forward,
Iñigo Arguibide,ESP,Osasuna,es La Liga,18 years,0.2,4,3,1,0,0,0,0,1,0,0,0,0,1,0,1,Defender,
Yoël Armougom,FRA,Clermont Foot,fr Ligue 1,25 years,2.6,131,114,17,1,0,0,14,16,0,0,0,0,97,0,3,Defender,Midfielder
José Arnaiz,ESP,Osasuna,es La Liga,28 years,10.3,318,260,58,18,0,3,46,3,25,13,8,0,233,0,8,Forward,Midfielder
Hákon Arnar Haraldsson,ISL,Lille,fr Ligue 1,20 years,14.3,549,525,21,6,3,4,7,4,2,1,0,0,451,3,13,Forward,Midfielder
Marko Arnautović,AUT,Inter,it Serie A,34 years,8.9,271,264,5,0,3,1,7,0,0,0,0,0,203,2,9,Forward,
Maximilian Arnold,GER,Wolfsburg,de Bundesliga,29 years,27.8,1582,1404,171,87,4,17,110,1,58,39,13,2,1285,7,19,Midfielder,
Mohamed El Arouch,FRA,Lyon,fr Ligue 1,19 years,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Forward,
Sergio Arribas,ESP,Almería,es La Liga,21 years,22.7,751,661,86,32,4,4,60,7,28,13,9,0,588,4,20,Midfielder,Forward
Kepa Arrizabalaga,ESP,Real Madrid,es La Liga,28 years,13.3,456,374,82,12,0,1,0,0,0,0,0,0,386,0,1,Goalkeeper,
Arthur,BRA,Leverkusen,de Bundesliga,20 years,2.0,109,96,13,0,0,0,7,12,1,0,0,0,88,0,3,Defender,
Takuma Asano,JPN,Bochum,de Bundesliga,28 years,22.1,397,383,12,1,1,0,37,2,1,0,0,0,262,2,26,Forward,Midfielder
Marco Asensio,ESP,Paris S-G,fr Ligue 1,27 years,12.4,656,598,55,10,6,6,52,8,31,11,10,0,545,3,13,Midfielder,Forward
Kristjan Asllani,ALB,Inter,it Serie A,21 years,8.7,744,685,56,23,2,4,35,1,32,12,10,0,662,3,6,Midfielder,
Joel Asoro,SWE,Metz,fr Ligue 1,24 years,9.4,147,136,10,4,0,0,19,1,2,2,0,0,94,1,10,Forward,Midfielder
Jonathan Asp Jensen,DEN,Bayern Munich,de Bundesliga,17 years,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,
Iago Aspas,ESP,Celta Vigo,es La Liga,35 years,30.1,1305,1112,190,51,20,15,149,8,94,39,35,0,949,3,30,Forward,
Lorenz Assignon,TOG,Burnley,eng Premier League,23 years,13.7,485,378,104,3,0,0,29,101,0,0,0,0,352,3,19,Defender,
Lorenz Assignon,TOG,Rennes,fr Ligue 1,23 years,11.2,600,491,109,13,0,1,22,96,0,0,0,0,516,0,12,Defender,
Youcef Atal,ALG,Nice,fr Ligue 1,27 years,4.0,238,215,22,6,2,0,6,16,0,0,0,0,214,1,1,Defender,
Valentin Atangana Edoa,FRA,Reims,fr Ligue 1,17 years,6.2,179,171,7,1,0,0,5,6,0,0,0,0,155,1,3,Midfielder,
Arthur Atta,FRA,Metz,fr Ligue 1,20 years,10.3,401,378,20,10,1,4,10,6,1,1,0,0,301,3,11,Midfielder,Forward
Noah Atubolu,GER,Freiburg,de Bundesliga,21 years,34.0,1392,1060,329,88,0,4,0,0,0,0,0,0,982,3,1,Goalkeeper,
Pierre-Emerick Aubameyang,GAB,Marseille,fr Ligue 1,34 years,29.1,660,608,48,1,3,0,42,4,0,0,0,0,444,4,27,Forward,
Emil Audero,IDN,Inter,it Serie A,26 years,3.7,197,174,21,3,0,0,0,0,0,0,0,0,166,2,1,Goalkeeper,
Tommaso Augello,ITA,Cagliari,it Serie A,28 years,26.9,1329,1008,317,42,1,2,153,241,34,7,25,0,919,4,42,Defender,
Carlos Augusto,BRA,Inter,it Serie A,24 years,19.2,1099,977,112,14,0,3,40,92,0,0,0,0,921,10,25,Defender,
Yann Aurel Bisseck,GER,Inter,it Serie A,22 years,10.0,641,614,27,20,1,2,5,7,0,0,0,0,590,0,9,Defender,
Serge Aurier,CIV,Nottingham Forest,eng Premier League,30 years,9.3,448,407,41,6,1,0,22,35,0,0,0,0,348,0,8,Defender,Midfielder
Ezequiel Ávila,ARG,Osasuna,es La Liga,29 years,9.6,371,312,56,13,4,6,79,10,32,17,12,0,232,3,9,Forward,Midfielder
Ezequiel Ávila,ARG,Betis,es La Liga,29 years,3.3,91,89,2,1,0,3,12,1,0,0,0,0,55,0,6,Forward,
Taiwo Awoniyi,NGA,Nottingham Forest,eng Premier League,25 years,11.6,175,169,4,0,2,1,1,0,0,0,0,0,127,2,3,Forward,
André Ayew,GHA,Le Havre,fr Ligue 1,33 years,12.3,266,244,19,0,0,0,4,1,0,0,0,0,197,3,10,Forward,
Jordan Ayew,GHA,Crystal Palace,eng Premier League,31 years,28.3,920,876,42,8,4,5,97,10,22,6,8,0,681,2,43,Forward,Midfielder
Neil El Aynaoui,FRA,Lens,fr Ligue 1,22 years,17.4,670,660,9,8,2,0,7,1,0,0,0,0,576,1,6,Midfielder,
Sardar Azmoun,IRN,Roma,it Serie A,28 years,6.5,156,152,4,1,1,1,2,1,0,0,0,0,108,0,8,Forward,Midfielder
César Azpilicueta,ESP,Atlético Madrid,es La Liga,33 years,15.8,1035,899,130,19,1,2,11,111,0,0,0,0,867,6,8,Defender,
Paulo Azzi,BRA,Cagliari,it Serie A,29 years,10.6,487,394,91,6,0,1,48,84,1,0,0,0,322,2,13,Defender,Midfielder
Oussama El Azzouzi,MAR,Bologna,it Serie A,22 years,6.1,390,383,7,6,0,2,2,0,1,1,0,0,352,0,2,Midfielder,
Abdellah Baallal,MAR,Clermont Foot,fr Ligue 1,18 years,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Midfielder,
Iddrisu Baba,GHA,Almería,es La Liga,27 years,15.9,654,636,15,15,2,2,4,0,0,0,0,0,543,3,10,Midfielder,
Srđan Babić,SRB,Almería,es La Liga,27 years,1.0,62,60,2,2,0,1,0,0,0,0,0,0,58,0,0,Defender,
Shavy Babicka,GAB,Toulouse,fr Ligue 1,23 years,4.1,127,122,3,0,0,0,13,3,0,0,0,0,77,2,10,Forward,Midfielder
Aliou Badara Baldé,GUI,Nice,fr Ligue 1,20 years,0.8,30,29,1,0,1,0,4,0,1,0,0,0,15,0,2,Forward,Defender
Loïc Bade,FRA,Sevilla,es La Liga,23 years,25.3,1346,1308,34,30,1,18,2,4,0,0,0,0,1113,4,12,Defender,
Milan Badelj,CRO,Genoa,it Serie A,34 years,28.2,1407,1344,59,39,5,14,14,9,0,0,0,0,1136,4,20,Midfielder,
Matthias Bader,GER,Darmstadt 98,de Bundesliga,26 years,20.0,912,747,160,5,1,10,32,155,0,0,0,0,687,5,31,Defender,Midfielder
Benoît Badiashile,FRA,Chelsea,eng Premier League,22 years,14.9,1173,1137,36,27,1,2,2,6,0,0,0,0,1065,0,6,Defender,
Alex Baena,ESP,Villarreal,es La Liga,22 years,28.7,1255,1087,153,38,28,15,175,15,95,44,37,1,893,15,32,Midfielder,Forward
Jaime Báez,URU,Frosinone,it Serie A,28 years,5.6,202,182,20,4,0,1,24,2,14,2,10,0,141,0,7,Forward,Midfielder
Nicola Bagnolini,ITA,Bologna,it Serie A,19 years,0.1,3,1,2,0,0,0,0,0,0,0,0,0,2,0,0,Goalkeeper,
Leon Bailey,JAM,Aston Villa,eng Premier League,25 years,23.0,790,745,40,2,11,7,75,9,29,20,0,0,573,5,38,Midfielder,Forward
Eric Bailly,CIV,Villarreal,es La Liga,29 years,9.3,385,359,24,12,0,1,0,0,0,0,0,0,337,2,2,Defender,
Stefan Bajcetic,ESP,Liverpool,eng Premier League,18 years,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,1,Midfielder,
Nedim Bajrami,ALB,Sassuolo,it Serie A,24 years,14.6,460,376,83,20,2,1,78,10,44,17,22,0,330,1,12,Midfielder,Forward
Cédric Bakambu,COD,Betis,es La Liga,32 years,2.2,39,35,4,0,0,0,0,0,0,0,0,0,26,0,2,Forward,
Tiemoué Bakayoko,FRA,Lorient,fr Ligue 1,28 years,14.6,637,619,17,16,1,3,1,1,0,0,0,0,550,1,11,Midfielder,
Mitchel Bakker,NED,Atalanta,it Serie A,23 years,4.2,212,168,42,3,0,0,13,36,3,0,3,0,167,2,8,Defender,
Ridle Baku,GER,Wolfsburg,de Bundesliga,25 years,22.4,1048,896,150,16,5,4,54,124,10,9,0,0,789,2,20,Defender,Midfielder
Dilane Bakwa,FRA,Strasbourg,fr Ligue 1,20 years,24.2,862,705,154,49,9,5,155,33,72,43,22,1,587,3,28,Forward,Midfielder
