Player,Nation,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Straight,Cmp,Off,Blocks,Position 1,Position 2
Agustín Martegani,ARG,Salernitana,it Serie A,23 years,8.1,297,280,12,8,1,1,1,2,2,0,0,0,248,5,4,Midfielder,
Eric Martel,GER,Köln,de Bundesliga,21 years,27.3,1126,1109,14,10,0,0,19,4,0,0,0,0,913,3,26,Midfielder,
Roger Martí,ESP,Cádiz,es La Liga,32 years,15.1,344,313,28,1,3,2,9,0,0,0,0,0,225,3,15,Forward,
Anthony Martial,FRA,Manchester Utd,eng Premier League,27 years,5.0,139,131,6,0,0,0,0,0,0,0,0,0,109,2,3,Forward,
Aarón Martín,ESP,Genoa,it Serie A,26 years,15.3,619,495,119,16,0,2,106,71,32,7,21,0,431,5,22,Defender,
Iván Martín,ESP,Girona,es La Liga,24 years,30.3,1628,1583,37,20,2,4,10,6,0,0,0,0,1487,8,19,Midfielder,
Jon Martin,ESP,Real Sociedad,es La Liga,17 years,0.3,7,7,0,0,0,1,0,0,0,0,0,0,5,0,0,Defender,
Jonas Martin,FRA,Brest,fr Ligue 1,33 years,13.4,962,927,33,21,0,9,7,8,2,1,0,0,839,2,12,Midfielder,
Mario Martín,ESP,Real Madrid,es La Liga,19 years,0.2,15,14,1,1,0,0,0,0,0,0,0,0,12,0,0,Midfielder,
Gabriel Martinelli,BRA,Arsenal,eng Premier League,22 years,22.4,929,878,49,3,3,3,109,11,35,30,0,0,724,2,29,Forward,
Tommaso Martinelli,ITA,Fiorentina,it Serie A,17 years,1.0,49,38,11,2,0,1,0,0,0,0,0,0,37,0,0,Goalkeeper,
Arnau Martinez,ESP,Girona,es La Liga,20 years,13.8,834,731,101,25,2,3,7,76,0,0,0,0,751,2,8,Defender,
Emiliano Martínez,ARG,Aston Villa,eng Premier League,30 years,33.5,1436,1170,259,100,0,0,0,0,0,0,0,0,1190,7,1,Goalkeeper,
Iñigo Martínez,ESP,Barcelona,es La Liga,32 years,14.4,1132,1092,37,22,3,22,3,8,0,0,0,0,1001,3,4,Defender,
Josep Martinez,ESP,Genoa,it Serie A,25 years,36.0,1430,1129,295,124,0,5,0,0,0,0,0,0,1017,6,2,Goalkeeper,
Lautaro Martínez,ARG,Inter,it Serie A,25 years,29.5,782,734,42,4,12,3,15,1,0,0,0,0,604,6,28,Forward,
Lisandro Martínez,ARG,Manchester Utd,eng Premier League,25 years,7.2,446,414,30,10,1,1,2,0,0,0,0,0,411,2,1,Defender,
Marc Martínez,ESP,Granada,es La Liga,33 years,3.0,98,64,34,10,0,0,0,0,0,0,0,0,75,0,0,Goalkeeper,
Lucas Martínez Quarta,ARG,Fiorentina,it Serie A,27 years,25.5,1668,1609,50,47,2,28,5,3,0,0,0,0,1362,9,14,Defender,
Adam Marušić,MNE,Lazio,it Serie A,30 years,34.4,1880,1575,304,20,0,4,44,284,0,0,0,0,1560,1,27,Defender,
Marvin,ESP,Las Palmas,es La Liga,23 years,20.6,774,723,49,5,0,1,91,43,1,0,1,0,557,2,36,Forward,Defender
Omar Mascarell,EQG,Mallorca,es La Liga,30 years,17.5,779,766,13,12,2,12,4,1,0,0,0,0,638,0,13,Midfielder,
Adam Masina,MAR,Udinese,it Serie A,29 years,0.7,30,27,3,0,0,0,0,3,0,0,0,0,22,0,1,Defender,
Adam Masina,MAR,Torino,it Serie A,29 years,11.4,652,620,31,8,0,1,4,17,0,0,0,0,557,1,2,Defender,
Erhan Mašović,SRB,Bochum,de Bundesliga,24 years,24.7,732,692,39,20,2,4,5,18,0,0,0,0,570,1,9,Defender,Midfielder
Han-Noah Massengo,FRA,Burnley,eng Premier League,22 years,0.2,12,11,1,0,0,0,2,1,0,0,0,0,6,0,1,Midfielder,Defender
Roberto Massimo,GER,Stuttgart,de Bundesliga,22 years,0.9,39,34,5,0,0,0,0,5,0,0,0,0,30,0,5,Forward,Defender
Clinton Mata,ANG,Lyon,fr Ligue 1,30 years,24.7,1514,1332,181,32,0,2,52,149,0,0,0,0,1286,1,26,Defender,
Jaime Mata,ESP,Getafe,es La Liga,34 years,19.9,521,502,17,1,0,1,39,8,1,0,0,0,340,2,21,Forward,Midfielder
Pape Matar Sarr,SEN,Tottenham,eng Premier League,20 years,23.0,1349,1329,18,5,6,3,25,9,1,0,0,0,1179,2,27,Midfielder,
Eliot Matazo,BEL,Monaco,fr Ligue 1,21 years,1.1,63,61,2,1,0,1,1,1,0,0,0,0,50,0,0,Midfielder,
Jean-Philippe Mateta,FRA,Crystal Palace,eng Premier League,26 years,25.4,433,421,12,0,1,3,20,0,0,0,0,0,309,0,14,Forward,
Nemanja Matić,SRB,Rennes,fr Ligue 1,34 years,11.4,804,760,41,38,2,5,5,3,0,0,0,0,695,3,14,Midfielder,
Nemanja Matić,SRB,Lyon,fr Ligue 1,34 years,13.9,989,948,34,34,3,6,4,0,0,0,0,0,845,7,26,Midfielder,
Joël Matip,CMR,Liverpool,eng Premier League,31 years,8.7,564,559,4,4,0,0,0,0,0,0,0,0,494,1,4,Defender,
Alex Matos,ENG,Chelsea,eng Premier League,18 years,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,
Chrislain Matsima,FRA,Clermont Foot,fr Ligue 1,21 years,13.1,655,635,19,13,0,1,0,3,0,0,0,0,569,1,10,Defender,
Chrislain Matsima,FRA,Monaco,fr Ligue 1,21 years,3.3,231,224,6,2,0,0,0,3,0,0,0,0,215,1,0,Defender,
Jean Mattéo Bahoya,FRA,Eintracht Frankfurt,de Bundesliga,18 years,2.0,82,80,2,0,0,0,6,2,0,0,0,0,62,0,2,Midfielder,Forward
Remi Matthews,ENG,Crystal Palace,eng Premier League,29 years,0.0,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,
Alan Matturro,URU,Genoa,it Serie A,18 years,1.2,25,24,1,0,0,0,0,1,0,0,0,0,16,0,1,Defender,
Azor Matusiwa,NED,Reims,fr Ligue 1,25 years,15.4,750,740,9,8,0,5,0,1,0,0,0,0,650,1,8,Midfielder,
Azor Matusiwa,NED,Rennes,fr Ligue 1,25 years,8.8,454,442,12,11,1,1,1,1,0,0,0,0,398,0,5,Midfielder,
Neal Maupay,FRA,Brentford,eng Premier League,26 years,14.7,392,362,28,6,5,2,8,10,1,0,0,0,282,2,28,Forward,
Neal Maupay,FRA,Everton,eng Premier League,26 years,1.2,26,23,3,0,0,1,0,0,0,0,0,0,22,0,1,Forward,
Aïman Maurer,MAR,Clermont Foot,fr Ligue 1,18 years,0.6,29,25,4,0,0,0,4,1,3,3,0,0,21,0,0,Midfielder,Forward
Konstantinos Mavropanos,GRE,West Ham,eng Premier League,25 years,16.7,635,597,36,29,1,11,1,5,0,0,0,0,482,2,7,Defender,
Christian Mawissa,FRA,Toulouse,fr Ligue 1,18 years,12.4,617,562,55,7,0,3,4,44,0,0,0,0,511,0,9,Defender,
Philipp Max,GER,Eintracht Frankfurt,de Bundesliga,29 years,15.0,898,730,166,23,1,3,59,130,13,5,6,0,742,2,12,Defender,
Eric Maxim Choupo-Moting,CMR,Bayern Munich,de Bundesliga,34 years,8.0,282,273,9,0,3,0,11,0,0,0,0,0,232,0,13,Midfielder,Forward
Luís Maximiano,POR,Almería,es La Liga,24 years,33.0,1266,862,397,133,0,1,0,0,0,0,0,0,833,7,0,Goalkeeper,
Noam Mayoka-Tika,BEL,Marseille,fr Ligue 1,19 years,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Midfielder,
Borja Mayoral,ESP,Getafe,es La Liga,26 years,23.9,558,530,26,0,0,8,22,1,1,0,0,0,422,2,26,Forward,
Senny Mayulu,FRA,Paris S-G,fr Ligue 1,17 years,3.6,175,172,3,0,2,0,13,1,2,0,0,0,145,0,5,Forward,Midfielder
Youssef Maziz,FRA,Metz,fr Ligue 1,25 years,1.4,39,33,5,1,1,2,4,1,3,2,1,0,30,1,0,Forward,Midfielder
Noussair Mazraoui,MAR,Bayern Munich,de Bundesliga,25 years,13.3,980,865,112,14,0,0,19,98,0,0,0,0,865,3,23,Defender,
Luca Mazzitelli,ITA,Frosinone,it Serie A,27 years,24.6,1309,1234,67,38,5,10,42,5,12,7,3,0,974,8,21,Midfielder,
Pasquale Mazzocchi,ITA,Salernitana,it Serie A,28 years,14.1,635,502,131,11,1,4,42,119,1,0,1,0,460,2,17,Defender,
Pasquale Mazzocchi,ITA,Napoli,it Serie A,28 years,4.8,276,237,39,4,2,3,14,35,0,0,0,0,225,0,2,Defender,
Kevin Mbabu,SUI,Augsburg,de Bundesliga,28 years,22.7,1020,780,236,6,1,2,101,230,0,0,0,0,644,4,42,Defender,
Noah Mbamba,BEL,Leverkusen,de Bundesliga,18 years,0.2,20,20,0,0,0,0,1,0,0,0,0,0,19,0,0,Midfielder,
