Player,Nation,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Position 1,Position 2
Emil Bohinen,NOR,Salernitana,it Serie A,24 years,5.9,0,4,0,0.0,0.67,0.0,0.0,,24.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Midfielder,
Adama Bojang,GAM,Reims,fr Ligue 1,19 years,0.9,0,4,1,25.0,4.34,1.08,0.0,0.0,16.9,0,0,0,1.3,1.3,0.32,-1.3,-1.3,Forward,
Daniel Boloca,ROU,Sassuolo,it Serie A,24 years,22.5,1,13,4,30.8,0.58,0.18,0.08,0.25,26.3,0,0,0,0.5,0.5,0.04,0.5,0.5,Midfielder,
Willy Boly,CIV,Nottingham Forest,eng Premier League,32 years,16.0,2,14,6,42.9,0.88,0.38,0.14,0.33,10.4,0,0,0,1.5,1.5,0.11,0.5,0.5,Defender,
Giacomo Bonaventura,ITA,Fiorentina,it Serie A,33 years,25.3,8,51,13,25.5,2.02,0.51,0.16,0.62,20.2,1,0,1,5.7,4.4,0.09,2.3,3.6,Midfielder,
Federico Bonazzoli,ITA,Hellas Verona,it Serie A,26 years,11.3,3,27,13,48.1,2.39,1.15,0.11,0.23,18.6,0,0,0,2.9,2.9,0.11,0.1,0.1,Forward,Midfielder
Warren Bondo,FRA,Monza,it Serie A,19 years,16.4,1,17,4,23.5,1.04,0.24,0.06,0.25,20.8,0,0,0,0.9,0.9,0.06,0.1,0.1,Midfielder,
Giovanni Bonfanti,ITA,Atalanta,it Serie A,20 years,1.0,0,1,0,0.0,1.01,0.0,0.0,,5.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Defender,
Victor Boniface,NGA,Leverkusen,de Bundesliga,22 years,17.2,14,76,30,39.5,4.42,1.75,0.13,0.33,16.0,0,4,4,15.4,12.3,0.16,-1.4,-2.3,Forward,
Kevin Bonifazi,ITA,Bologna,it Serie A,27 years,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Kevin Bonifazi,ITA,Frosinone,it Serie A,27 years,3.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Leonardo Bonucci,ITA,Union Berlin,de Bundesliga,36 years,5.1,1,0,0,,0.0,0.0,,,,0,1,1,0.8,0.0,,0.2,0.0,Defender,
Neto Borges,BRA,Clermont Foot,fr Ligue 1,26 years,28.0,0,16,2,12.5,0.57,0.07,0.0,0.0,19.6,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Defender,
Yvandro Borges Sanches,LUX,Gladbach,de Bundesliga,19 years,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,Forward
Sebastiaan Bornauw,BEL,Wolfsburg,de Bundesliga,24 years,15.9,0,10,4,40.0,0.63,0.25,0.0,0.0,10.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Defender,
Rafael Borré,COL,Werder Bremen,de Bundesliga,27 years,11.0,4,20,7,35.0,1.82,0.64,0.2,0.57,15.4,0,0,0,2.4,2.4,0.12,1.6,1.6,Forward,
Gennaro Borrelli,ITA,Frosinone,it Serie A,23 years,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Adri Bosch,ESP,Granada,es La Liga,22 years,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Erik Botheim,NOR,Salernitana,it Serie A,23 years,3.5,0,1,0,0.0,0.28,0.0,0.0,,15.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Forward,Midfielder
Sven Botman,NED,Newcastle Utd,eng Premier League,23 years,15.3,2,10,2,20.0,0.65,0.13,0.2,1.0,10.5,0,0,0,0.6,0.6,0.06,1.4,1.4,Defender,
Saïmon Bouabré,FRA,Monaco,fr Ligue 1,17 years,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Ayyoub Bouaddi,FRA,Lille,fr Ligue 1,15 years,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Badredine Bouanani,ALG,Nice,fr Ligue 1,18 years,1.8,0,4,1,25.0,2.24,0.56,0.0,0.0,16.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Forward,
