Player,Nation,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Position 1,Position 2
Valentín Castellanos,ARG,Lazio,it Serie A,24 years,18.7,4,54,19,35.2,2.89,1.02,0.07,0.21,13.3,1,0,0,7.3,7.3,0.14,-3.3,-3.3,Forward,
Jean-Charles Castelletto,CMR,Nantes,fr Ligue 1,28 years,27.4,2,10,6,60.0,0.37,0.22,0.2,0.33,12.1,0,0,0,0.6,0.6,0.06,1.4,1.4,Defender,
Samu Castillejo,ESP,Sassuolo,it Serie A,28 years,6.0,0,6,2,33.3,1.01,0.34,0.0,0.0,16.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Forward,Midfielder
Jonny Castro,ESP,Wolves,eng Premier League,29 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Santiago Castro,ARG,Bologna,it Serie A,18 years,2.7,1,7,3,42.9,2.6,1.12,0.14,0.33,19.6,0,0,0,1.0,1.0,0.14,0.0,0.0,Forward,
Gaetano Castrovilli,ITA,Fiorentina,it Serie A,26 years,4.1,1,5,2,40.0,1.23,0.49,0.2,0.5,14.9,0,0,0,0.3,0.3,0.07,0.7,0.7,Forward,Midfielder
Danilo Cataldi,ITA,Lazio,it Serie A,28 years,15.1,1,12,2,16.7,0.79,0.13,0.08,0.5,27.8,0,0,0,0.4,0.4,0.03,0.6,0.6,Midfielder,
Catena,ESP,Osasuna,es La Liga,28 years,28.2,1,18,5,27.8,0.64,0.18,0.06,0.2,13.3,1,0,0,1.3,1.3,0.07,-0.3,-0.3,Defender,
Maximiliano Caufriez,BEL,Clermont Foot,fr Ligue 1,26 years,18.4,0,6,1,16.7,0.33,0.05,0.0,0.0,17.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Defender,
Ivan Cavaleiro,POR,Lille,fr Ligue 1,29 years,8.6,1,11,3,27.3,1.29,0.35,0.09,0.33,13.4,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Forward,
Dani Ceballos,ESP,Real Madrid,es La Liga,26 years,6.6,0,7,1,14.3,1.05,0.15,0.0,0.0,18.4,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Midfielder,Forward
Emil Ceide,NOR,Sassuolo,it Serie A,21 years,2.0,0,2,0,0.0,1.02,0.0,0.0,,20.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Forward,Midfielder
Zeki Çelik,TUR,Roma,it Serie A,26 years,7.5,0,2,1,50.0,0.27,0.13,0.0,0.0,11.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Defender,
Álex Centelles,ESP,Almería,es La Liga,25 years,10.9,0,2,1,50.0,0.18,0.09,0.0,0.0,21.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
Fabien Centonze,FRA,Hellas Verona,it Serie A,27 years,7.5,0,1,0,0.0,0.13,0.0,0.0,,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
Fabien Centonze,FRA,Nantes,fr Ligue 1,27 years,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Václav Černý,CZE,Wolfsburg,de Bundesliga,25 years,10.2,4,20,5,25.0,1.95,0.49,0.2,0.8,15.2,0,0,0,2.3,2.3,0.11,1.7,1.7,Forward,Midfielder
Michele Cerofolini,ITA,Frosinone,it Serie A,24 years,7.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Alberto Cerri,ITA,Empoli,it Serie A,27 years,6.1,1,10,3,30.0,1.65,0.5,0.1,0.33,10.8,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Forward,
Leonardo Cerri,ITA,Juventus,it Serie A,20 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Franco Cervi,ARG,Celta Vigo,es La Liga,29 years,6.1,0,8,1,12.5,1.32,0.16,0.0,0.0,19.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Midfielder,Defender
Julian Chabot,GER,Köln,de Bundesliga,25 years,30.0,0,19,3,15.8,0.63,0.1,0.0,0.0,11.0,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Defender,
El Chadaille Bitshiabu,FRA,RB Leipzig,de Bundesliga,18 years,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,Midfielder
Fares Chaïbi,ALG,Toulouse,fr Ligue 1,20 years,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,Midfielder
Fares Chaïbi,ALG,Eintracht Frankfurt,de Bundesliga,20 years,21.2,2,40,14,35.0,1.88,0.66,0.05,0.14,19.1,6,0,0,3.1,3.1,0.08,-1.1,-1.1,Midfielder,Forward
Trevoh Chalobah,ENG,Chelsea,eng Premier League,24 years,10.6,1,2,2,100.0,0.19,0.19,0.5,0.5,9.5,0,0,0,0.2,0.2,0.1,0.8,0.8,Defender,
Muhammed Cham,AUT,Clermont Foot,fr Ligue 1,22 years,28.4,8,69,26,37.7,2.43,0.92,0.06,0.15,22.0,10,4,5,9.4,5.5,0.08,-1.4,-1.5,Midfielder,Forward
Calum Chambers,ENG,Aston Villa,eng Premier League,28 years,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,Defender
Timothy Chandler,USA,Eintracht Frankfurt,de Bundesliga,33 years,0.2,0,2,1,50.0,10.0,5.0,0.0,0.0,17.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Midfielder,Defender
Brendan Chardonnet,FRA,Brest,fr Ligue 1,28 years,33.0,1,18,3,16.7,0.55,0.09,0.06,0.33,11.3,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Defender,
Charlys,BRA,Hellas Verona,it Serie A,19 years,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Pep Chavarría,ESP,Rayo Vallecano,es La Liga,25 years,13.0,1,11,2,18.2,0.85,0.15,0.09,0.5,18.3,0,0,0,1.0,1.0,0.09,0.0,0.0,Defender,Midfielder
Jhoanner Chávez,ECU,Lens,fr Ligue 1,21 years,5.3,0,3,0,0.0,0.56,0.0,0.0,,11.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Defender,
Walid Cheddira,MAR,Frosinone,it Serie A,25 years,23.6,7,59,26,44.1,2.5,1.1,0.1,0.23,14.1,0,1,1,9.0,8.2,0.14,-2.0,-2.2,Forward,
Rayan Cherki,FRA,Lyon,fr Ligue 1,19 years,19.1,1,57,17,29.8,2.98,0.89,0.02,0.06,15.7,1,0,0,5.2,5.2,0.09,-4.2,-4.2,Midfielder,Forward
Youssef Chermiti,POR,Everton,eng Premier League,19 years,2.3,0,7,2,28.6,3.03,0.87,0.0,0.0,14.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Forward,
Lucas Chevalier,FRA,Lille,fr Ligue 1,21 years,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Fabio Chiarodia,ITA,Gladbach,de Bundesliga,18 years,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Federico Chiesa,ITA,Juventus,it Serie A,25 years,24.4,9,74,25,33.8,3.03,1.02,0.11,0.32,19.2,5,1,1,6.4,5.6,0.08,2.6,2.4,Forward,
Ben Chilwell,ENG,Chelsea,eng Premier League,26 years,8.4,0,12,4,33.3,1.43,0.48,0.0,0.0,16.6,1,0,0,1.2,1.2,0.1,-1.2,-1.2,Defender,
Tawanda Chirewa,ZIM,Wolves,eng Premier League,19 years,1.6,0,3,1,33.3,1.86,0.62,0.0,0.0,21.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Midfielder,Forward
Pedro Chirivella,ESP,Nantes,fr Ligue 1,26 years,28.8,1,17,6,35.3,0.59,0.21,0.06,0.17,19.8,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Midfielder,
Leon Chiwome,ENG,Wolves,eng Premier League,17 years,1.9,0,2,0,0.0,1.03,0.0,0.0,,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Forward,
Tahith Chong,NED,Luton Town,eng Premier League,23 years,22.0,4,31,7,22.6,1.41,0.32,0.13,0.57,16.6,0,0,0,2.7,2.7,0.09,1.3,1.3,Midfielder,Forward
Joris Chotard,FRA,Montpellier,fr Ligue 1,21 years,28.7,0,21,7,33.3,0.73,0.24,0.0,0.0,26.1,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Midfielder,
Andreas Christensen,DEN,Barcelona,es La Liga,27 years,22.0,2,12,4,33.3,0.55,0.18,0.17,0.5,13.0,0,0,0,1.0,1.0,0.09,1.0,1.0,Defender,Midfielder
Jacob Christensen,DEN,Köln,de Bundesliga,22 years,2.4,0,1,0,0.0,0.41,0.0,0.0,,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Midfielder,
Oliver Christensen,DEN,Fiorentina,it Serie A,24 years,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Ryan Christie,SCO,Bournemouth,eng Premier League,28 years,32.3,0,43,13,30.2,1.33,0.4,0.0,0.0,20.0,0,0,0,2.3,2.3,0.05,-2.3,-2.3,Midfielder,
Carney Chukwuemeka,ENG,Chelsea,eng Premier League,19 years,2.5,1,3,2,66.7,1.19,0.79,0.33,0.5,19.9,0,0,0,0.2,0.2,0.05,0.8,0.8,Midfielder,Forward
Samuel Chukwueze,NGA,Milan,it Serie A,24 years,11.3,1,28,8,28.6,2.48,0.71,0.04,0.13,17.7,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Forward,
Chumi,ESP,Almería,es La Liga,24 years,27.0,0,5,0,0.0,0.18,0.0,0.0,,13.8,0,0,0,1.0,1.0,0.19,-1.0,-1.0,Defender,
Víctor Chust,ESP,Cádiz,es La Liga,23 years,20.7,0,4,0,0.0,0.19,0.0,0.0,,9.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Defender,
Pathé Ciss,SEN,Rayo Vallecano,es La Liga,29 years,18.5,1,22,8,36.4,1.19,0.43,0.05,0.13,23.6,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Midfielder,
Alphadjo Cissè,ITA,Hellas Verona,it Serie A,16 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Djaoui Cissé,FRA,Rennes,fr Ligue 1,19 years,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Ibrahim Cissoko,NED,Toulouse,fr Ligue 1,20 years,2.7,1,8,4,50.0,2.99,1.49,0.13,0.25,20.2,0,0,0,0.8,0.8,0.1,0.2,0.2,Forward,Midfielder
Giorgio Cittadini,ITA,Monza,it Serie A,21 years,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Giorgio Cittadini,ITA,Genoa,it Serie A,21 years,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Patrick Ciurria,ITA,Monza,it Serie A,28 years,17.8,0,28,7,25.0,1.58,0.39,0.0,0.0,22.6,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Defender,Midfielder
Bobby Clark,ENG,Liverpool,eng Premier League,18 years,1.0,0,2,0,0.0,2.02,0.0,0.0,,18.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Midfielder,
Jordan Clark,ENG,Luton Town,eng Premier League,29 years,14.5,1,17,4,23.5,1.17,0.28,0.06,0.25,16.9,0,0,0,1.0,1.0,0.06,0.0,0.0,Midfielder,
Alexis Claude-Maurice,FRA,Nice,fr Ligue 1,25 years,5.6,0,18,6,33.3,3.21,1.07,0.0,0.0,25.1,1,0,0,0.8,0.8,0.04,-0.8,-0.8,Midfielder,
Jonathan Clauss,FRA,Marseille,fr Ligue 1,30 years,23.0,3,28,8,28.6,1.22,0.35,0.11,0.38,23.0,3,0,0,1.3,1.3,0.05,1.7,1.7,Defender,
Silvi Clúa,ESP,Girona,es La Liga,18 years,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Nathaniel Clyne,ENG,Crystal Palace,eng Premier League,32 years,14.9,0,4,0,0.0,0.27,0.0,0.0,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Defender,
Marcus Coco,FRA,Nantes,fr Ligue 1,27 years,16.5,1,9,2,22.2,0.55,0.12,0.11,0.5,20.0,0,0,0,0.8,0.8,0.09,0.2,0.2,Defender,Forward
Saúl Coco,EQG,Las Palmas,es La Liga,24 years,25.5,1,20,4,20.0,0.78,0.16,0.05,0.25,25.6,8,0,0,1.1,1.1,0.05,-0.1,-0.1,Defender,
Séamus Coleman,IRL,Everton,eng Premier League,34 years,7.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Maxime Colin,FRA,Metz,fr Ligue 1,31 years,20.4,0,6,0,0.0,0.29,0.0,0.0,,22.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Defender,
Nathan Collins,IRL,Brentford,eng Premier League,22 years,29.5,1,10,2,20.0,0.34,0.07,0.1,0.5,9.9,0,0,0,1.7,1.7,0.17,-0.7,-0.7,Defender,
Nnamdi Collins,GER,Eintracht Frankfurt,de Bundesliga,19 years,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Lorenzo Colombo,ITA,Monza,it Serie A,21 years,15.1,4,37,10,27.0,2.45,0.66,0.11,0.4,17.2,0,0,0,3.6,3.6,0.1,0.4,0.4,Forward,
Andrea Colpani,ITA,Monza,it Serie A,24 years,29.5,8,65,19,29.2,2.2,0.64,0.12,0.42,19.9,9,0,0,4.8,4.8,0.07,3.2,3.2,Midfielder,Forward
Levi Colwill,ENG,Chelsea,eng Premier League,20 years,20.0,1,11,3,27.3,0.55,0.15,0.09,0.33,11.9,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Defender,
Kingsley Coman,FRA,Bayern Munich,de Bundesliga,27 years,12.4,3,34,8,23.5,2.75,0.65,0.09,0.38,17.6,0,0,0,2.8,2.8,0.08,0.2,0.2,Forward,
Eray Cömert,SUI,Nantes,fr Ligue 1,25 years,22.2,2,9,3,33.3,0.41,0.14,0.22,0.67,17.1,1,0,0,0.7,0.7,0.08,1.3,1.3,Defender,
Santi Comesaña,ESP,Villarreal,es La Liga,26 years,18.4,2,17,7,41.2,0.93,0.38,0.12,0.29,13.0,0,0,0,1.9,1.9,0.11,0.1,0.1,Midfielder,
Pietro Comuzzo,ITA,Fiorentina,it Serie A,18 years,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,Forward
Alois Confais,FRA,Le Havre,fr Ligue 1,26 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,Forward
Andrea Consigli,ITA,Sassuolo,it Serie A,36 years,35.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Bambasé Conté,GER,Hoffenheim,de Bundesliga,20 years,0.5,0,3,0,0.0,5.63,0.0,0.0,,19.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Midfielder,Forward
Nikita Contini Baranovsky,ITA,Napoli,it Serie A,27 years,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Lewis Cook,ENG,Bournemouth,eng Premier League,26 years,31.0,0,12,4,33.3,0.39,0.13,0.0,0.0,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Midfielder,
Copete,ESP,Mallorca,es La Liga,23 years,14.8,1,7,1,14.3,0.47,0.07,0.14,1.0,13.4,0,0,0,0.5,0.5,0.08,0.5,0.5,Defender,
Diego Coppola,ITA,Hellas Verona,it Serie A,19 years,18.2,2,13,3,23.1,0.72,0.17,0.15,0.67,8.3,0,0,0,1.2,1.2,0.09,0.8,0.8,Defender,
Francis Coquelin,FRA,Villarreal,es La Liga,32 years,10.1,0,3,0,0.0,0.3,0.0,0.0,,16.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Midfielder,
Tommaso Corazza,ITA,Bologna,it Serie A,19 years,2.2,0,1,0,0.0,0.46,0.0,0.0,,12.8,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Defender,
Theo Corbeanu,CAN,Granada,es La Liga,21 years,2.0,1,5,2,40.0,2.47,0.99,0.2,0.5,23.6,1,0,0,0.3,0.3,0.06,0.7,0.7,Midfielder,Forward
Jeppe Corfitzen,DEN,Lecce,it Serie A,18 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Jack Cork,ENG,Burnley,eng Premier League,34 years,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Maxwel Cornet,CIV,West Ham,eng Premier League,26 years,1.2,1,4,1,25.0,3.21,0.8,0.25,1.0,12.5,0,0,0,0.4,0.4,0.1,0.6,0.6,Midfielder,Forward
Giacomo Corona,ITA,Empoli,it Serie A,19 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Jesús Corona,MEX,Sevilla,es La Liga,30 years,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,Defender
Ángel Correa,ARG,Atlético Madrid,es La Liga,28 years,17.0,9,42,19,45.2,2.47,1.12,0.19,0.42,17.0,1,1,1,7.9,7.1,0.17,1.1,0.9,Forward,Midfielder
Joaquín Correa,ARG,Marseille,fr Ligue 1,28 years,4.8,0,4,2,50.0,0.84,0.42,0.0,0.0,19.3,1,0,0,0.6,0.6,0.16,-0.6,-0.6,Forward,Midfielder
Thierry Correia,POR,Valencia,es La Liga,24 years,23.9,0,5,2,40.0,0.21,0.08,0.0,0.0,20.9,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Defender,
Oscar Cortés,COL,Lens,fr Ligue 1,19 years,0.5,1,1,1,100.0,2.05,2.05,1.0,1.0,7.7,0,0,0,0.5,0.5,0.46,0.5,0.5,Forward,Midfielder
Danny da Costa,GER,Mainz 05,de Bundesliga,30 years,9.2,0,6,1,16.7,0.65,0.11,0.0,0.0,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Defender,
David Costa,POR,Lens,fr Ligue 1,22 years,16.6,4,30,14,46.7,1.81,0.84,0.13,0.29,17.8,2,0,0,3.0,3.0,0.1,1.0,1.0,Midfielder,
Jaume Costa,ESP,Mallorca,es La Liga,35 years,18.7,0,6,2,33.3,0.32,0.11,0.0,0.0,16.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Defender,
João Costa,BRA,Roma,it Serie A,18 years,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,Forward
Logan Costa,CPV,Toulouse,fr Ligue 1,22 years,29.4,1,14,4,28.6,0.48,0.14,0.07,0.25,14.2,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Defender,
Samu Costa,POR,Mallorca,es La Liga,22 years,25.6,1,22,3,13.6,0.86,0.12,0.05,0.33,20.9,1,0,0,1.1,1.1,0.05,-0.1,-0.1,Midfielder,
Benoît Costil,FRA,Salernitana,it Serie A,36 years,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Grégoire Coudert,FRA,Brest,fr Ligue 1,24 years,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Vladimír Coufal,CZE,West Ham,eng Premier League,30 years,34.8,0,8,2,25.0,0.23,0.06,0.0,0.0,22.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Defender,
Lassana Coulibaly,MLI,Salernitana,it Serie A,27 years,23.1,0,13,3,23.1,0.56,0.13,0.0,0.0,20.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Midfielder,
Mamadou Coulibaly,SEN,Salernitana,it Serie A,24 years,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Mamadou Coulibaly,FRA,Monaco,fr Ligue 1,19 years,1.3,0,2,0,0.0,1.53,0.0,0.0,,20.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Midfielder,
Tanguy Coulibaly,FRA,Montpellier,fr Ligue 1,22 years,6.9,1,17,7,41.2,2.46,1.01,0.06,0.14,14.1,0,0,0,2.6,2.6,0.15,-1.6,-1.6,Forward,Midfielder
Thibaut Courtois,BEL,Real Madrid,es La Liga,31 years,3.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Philippe Coutinho,BRA,Aston Villa,eng Premier League,31 years,0.3,0,3,1,33.3,10.8,3.6,0.0,0.0,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Midfielder,Forward
Yan Couto,BRA,Girona,es La Liga,21 years,24.9,1,29,11,37.9,1.16,0.44,0.03,0.09,21.3,0,0,0,1.5,1.5,0.05,-0.5,-0.5,Defender,Forward
Nicolas Cozza,FRA,Nantes,fr Ligue 1,24 years,9.9,0,5,0,0.0,0.5,0.0,0.0,,12.2,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Defender,
Nicolas Cozza,FRA,Wolfsburg,de Bundesliga,24 years,3.1,0,1,0,0.0,0.33,0.0,0.0,,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
Alessio Cragno,ITA,Sassuolo,it Serie A,29 years,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Crespo,POR,Rayo Vallecano,es La Liga,26 years,5.9,0,3,0,0.0,0.51,0.0,0.0,,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Midfielder,
Aaron Cresswell,ENG,West Ham,eng Premier League,33 years,4.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,Forward
Bryan Cristante,ITA,Roma,it Serie A,28 years,36.5,3,54,8,14.8,1.48,0.22,0.06,0.38,17.2,0,0,0,4.0,4.0,0.07,-1.0,-1.0,Midfielder,Defender
Cristian,ESP,Valencia,es La Liga,25 years,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Juan Cruz Armada,ESP,Osasuna,es La Liga,31 years,18.5,0,3,0,0.0,0.16,0.0,0.0,,28.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Defender,
Juan Cruz,ARG,Hellas Verona,it Serie A,24 years,1.2,0,1,0,0.0,0.83,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Forward,Midfielder
Juan Cruz,ESP,Betis,es La Liga,23 years,0.8,0,2,0,0.0,2.37,0.0,0.0,,21.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Forward,
Juan Cuadrado,COL,Inter,it Serie A,35 years,3.0,0,5,0,0.0,1.69,0.0,0.0,,19.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Defender,
Pau Cubarsí,ESP,Barcelona,es La Liga,16 years,17.3,0,3,0,0.0,0.17,0.0,0.0,,18.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Defender,
Marc Cucurella,ESP,Chelsea,eng Premier League,25 years,19.8,0,8,4,50.0,0.4,0.2,0.0,0.0,14.4,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Defender,
Iván Cuéllar,ESP,Mallorca,es La Liga,39 years,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Jorge Cuenca,ESP,Villarreal,es La Liga,23 years,21.8,3,20,7,35.0,0.92,0.32,0.15,0.43,11.7,0,0,0,1.2,1.2,0.06,1.8,1.8,Defender,
Josh Cullen,IRL,Burnley,eng Premier League,27 years,22.9,2,16,5,31.3,0.7,0.22,0.13,0.4,22.8,0,0,0,0.6,0.6,0.04,1.4,1.4,Midfielder,
Matheus Cunha,BRA,Wolves,eng Premier League,24 years,27.1,12,72,36,50.0,2.66,1.33,0.15,0.31,18.0,0,1,1,9.5,8.7,0.12,2.5,2.3,Forward,Midfielder
Marvin Cuni,ALB,Frosinone,it Serie A,22 years,5.9,1,10,2,20.0,1.69,0.34,0.1,0.5,14.3,1,0,0,1.3,1.3,0.13,-0.3,-0.3,Forward,
Eric Curbelo,ESP,Las Palmas,es La Liga,29 years,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,Midfielder
Sam Curtis,IRL,Sheffield Utd,eng Premier League,17 years,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Tomáš Čvančara,CZE,Gladbach,de Bundesliga,22 years,10.0,4,34,11,32.4,3.42,1.1,0.09,0.27,14.2,1,1,2,5.9,4.3,0.13,-1.9,-1.3,Forward,
Danilo D'Ambrosio,ITA,Monza,it Serie A,34 years,17.1,0,14,4,28.6,0.82,0.23,0.0,0.0,15.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Defender,
Alberto Dadie,ESP,Real Sociedad,es La Liga,21 years,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Trévis Dago,CIV,Lille,fr Ligue 1,18 years,0.3,0,1,0,0.0,3.91,0.0,0.0,,9.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Forward,Midfielder
Finn Dahmen,GER,Augsburg,de Bundesliga,25 years,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Mahmoud Dahoud,GER,Brighton,eng Premier League,27 years,5.0,0,6,1,16.7,1.19,0.2,0.0,0.0,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Midfielder,
Mahmoud Dahoud,GER,Stuttgart,de Bundesliga,27 years,2.5,1,3,1,33.3,1.19,0.4,0.33,1.0,19.8,0,0,0,0.6,0.6,0.19,0.4,0.4,Midfielder,
Ameen Al-Dakhil,BEL,Burnley,eng Premier League,21 years,11.7,1,8,3,37.5,0.68,0.26,0.13,0.33,16.0,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Defender,
Thijs Dallinga,NED,Toulouse,fr Ligue 1,22 years,27.9,14,81,32,39.5,2.9,1.15,0.16,0.41,13.3,1,1,3,14.1,11.8,0.15,-0.1,1.2,Forward,
Diogo Dalot,POR,Manchester Utd,eng Premier League,24 years,35.3,2,30,7,23.3,0.85,0.2,0.07,0.29,21.0,0,0,0,1.7,1.7,0.06,0.3,0.3,Defender,
Mikkel Damsgaard,DEN,Brentford,eng Premier League,23 years,9.4,0,9,4,44.4,0.96,0.43,0.0,0.0,18.0,1,0,0,0.9,0.9,0.1,-0.9,-0.9,Midfielder,
Flavius Daniliuc,AUT,Salernitana,it Serie A,22 years,8.3,0,2,0,0.0,0.24,0.0,0.0,,15.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Defender,
Danilo,BRA,Nottingham Forest,eng Premier League,22 years,19.9,2,23,7,30.4,1.16,0.35,0.09,0.29,21.0,0,0,0,1.8,1.8,0.08,0.2,0.2,Midfielder,
Danilo,BRA,Juventus,it Serie A,32 years,27.2,1,17,2,11.8,0.62,0.07,0.06,0.5,19.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Defender,
