Player,Nation,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Position 1,Position 2
Willian,BRA,Fulham,"36 years, 223 days",1.5,0,3,0,0.0,2.06,0.0,0.0,,22.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Forward,Midfielder
Joe Willock,ENG,Newcastle Utd,"25 years, 212 days",9.1,0,12,2,16.7,1.32,0.22,0.0,0.0,17.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Midfielder,Forward
Callum Wilson,ENG,Newcastle Utd,"33 years, 021 days",1.8,0,3,0,0.0,1.66,0.0,0.0,,14.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Forward,Midfielder
Harry Wilson,WAL,Fulham,"27 years, 363 days",9.3,5,28,9,32.1,3.0,0.97,0.18,0.56,17.2,1,0,0,3.2,3.2,0.12,1.8,1.8,Forward,Midfielder
Harry Winks,ENG,Leicester City,"29 years, 046 days",17.1,0,10,4,40.0,0.59,0.23,0.0,0.0,29.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Midfielder,
Ben Winterburn,ENG,Bournemouth,"20 years, 197 days",0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Yoane Wissa,COD,Brentford,"28 years, 198 days",23.4,14,63,30,47.6,2.69,1.28,0.22,0.47,14.0,0,0,0,13.6,13.6,0.22,0.4,0.4,Forward,
Chris Wood,NZL,Nottingham Forest,"33 years, 103 days",26.0,18,50,29,58.0,1.92,1.11,0.3,0.52,14.6,0,3,3,11.0,8.7,0.17,7.0,6.3,Forward,
Nathan Wood-Gordon,ENG,Southampton,"22 years, 293 days",6.9,0,2,0,0.0,0.29,0.0,0.0,,5.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Defender,
Luke Woolfenden,ENG,Ipswich Town,"26 years, 150 days",11.2,0,1,0,0.0,0.09,0.0,0.0,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Defender,
Yehor Yarmoliuk,UKR,Brentford,"21 years, 019 days",8.8,0,9,2,22.2,1.02,0.23,0.0,0.0,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Midfielder,
Ryan Yates,ENG,Nottingham Forest,"27 years, 119 days",17.2,2,27,8,29.6,1.57,0.47,0.07,0.25,17.5,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Midfielder,
Leny Yoro,FRA,Manchester Utd,"19 years, 127 days",7.8,0,5,1,20.0,0.64,0.13,0.0,0.0,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Defender,
Ashley Young,ENG,Everton,"39 years, 254 days",17.3,1,6,3,50.0,0.35,0.17,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,0.7,0.7,Defender,Forward
Illia Zabarnyi,UKR,Bournemouth,"22 years, 200 days",26.3,0,7,0,0.0,0.27,0.0,0.0,,9.2,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Defender,
Oleksandr Zinchenko,UKR,Arsenal,"28 years, 095 days",3.3,0,3,0,0.0,0.9,0.0,0.0,,14.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Defender,Midfielder
Joshua Zirkzee,NED,Manchester Utd,"23 years, 302 days",13.9,3,25,9,36.0,1.8,0.65,0.12,0.33,13.0,0,0,0,4.5,4.5,0.18,-1.5,-1.5,Forward,Midfielder
Martin Ødegaard,NOR,Arsenal,"26 years, 093 days",19.2,2,33,11,33.3,1.72,0.57,0.03,0.09,19.2,2,1,1,3.7,2.9,0.09,-1.7,-1.9,Midfielder,
