Player,Nation,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Position 1,Position 2
Antoine Semenyo,GHA,Bournemouth,"25 years, 072 days",27.4,7,101,32,31.7,3.69,1.17,0.07,0.22,16.5,0,0,0,8.6,8.6,0.08,-1.6,-1.6,Forward,
Marcos Senesi,ARG,Bournemouth,"27 years, 314 days",10.2,0,2,0,0.0,0.2,0.0,0.0,,6.0,0,0,0,0.8,0.8,0.4,-0.8,-0.8,Defender,
Ryan Sessegnon,ENG,Fulham,"24 years, 306 days",1.1,2,3,3,100.0,2.81,2.81,0.67,0.67,12.6,0,0,0,0.5,0.5,0.18,1.5,1.5,Defender,Midfielder
Luke Shaw,ENG,Manchester Utd,"29 years, 251 days",0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Zain Silcott-Duberry,MSR,Bournemouth,"19 years, 254 days",0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Bernardo Silva,POR,Manchester City,"30 years, 222 days",22.7,2,27,9,33.3,1.19,0.4,0.07,0.22,13.0,0,0,0,3.0,3.0,0.11,-1.0,-1.0,Midfielder,Forward
Jota Silva,POR,Nottingham Forest,"25 years, 231 days",8.1,2,17,4,23.5,2.11,0.5,0.12,0.5,14.8,0,0,0,1.5,1.5,0.09,0.5,0.5,Forward,Midfielder
Eric da Silva Moreira,GER,Nottingham Forest,"18 years, 321 days",0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,Defender
Jahmai Simpson-Pusey,ENG,Manchester City,"19 years, 136 days",1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Luis Sinisterra,COL,Bournemouth,"25 years, 276 days",2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Forward,Midfielder
Oliver Skipp,ENG,Leicester City,"24 years, 185 days",8.7,0,3,1,33.3,0.35,0.12,0.0,0.0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Midfielder,
William Smallbone,IRL,Southampton,"25 years, 027 days",6.2,1,5,1,20.0,0.81,0.16,0.2,1.0,17.6,1,0,0,0.4,0.4,0.08,0.6,0.6,Midfielder,
Adam Smith,ENG,Bournemouth,"33 years, 325 days",11.5,0,1,0,0.0,0.09,0.0,0.0,,10.2,0,0,0,0.6,0.6,0.6,-0.6,-0.6,Defender,
Emile Smith Rowe,ENG,Fulham,"24 years, 235 days",19.2,5,32,8,25.0,1.67,0.42,0.16,0.63,15.4,0,0,0,4.1,4.1,0.13,0.9,0.9,Midfielder,
Dominic Solanke,ENG,Tottenham,"27 years, 187 days",19.8,7,52,21,40.4,2.63,1.06,0.13,0.33,12.2,0,0,0,9.2,9.2,0.18,-2.2,-2.2,Forward,
Carlos Soler,ESP,West Ham,"28 years, 077 days",12.2,1,19,5,26.3,1.56,0.41,0.05,0.2,19.7,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Midfielder,Forward
Ramón Sosa,PAR,Nottingham Forest,"25 years, 201 days",2.7,1,10,5,50.0,3.73,1.87,0.1,0.2,18.9,0,0,0,0.9,0.9,0.09,0.1,0.1,Forward,Midfielder
Tomáš Souček,CZE,West Ham,"30 years, 021 days",23.1,7,44,12,27.3,1.9,0.52,0.16,0.58,11.3,0,0,0,4.9,4.9,0.11,2.1,2.1,Midfielder,
Boubakary Soumaré,FRA,Leicester City,"26 years, 021 days",17.4,0,6,0,0.0,0.35,0.0,0.0,,23.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Midfielder,
Djed Spence,ENG,Tottenham,"24 years, 223 days",11.8,1,6,2,33.3,0.51,0.17,0.17,0.5,25.2,0,0,0,0.3,0.3,0.04,0.7,0.7,Defender,
Jay Stansfield,ENG,Fulham,"22 years, 116 days",0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Jason Steele,ENG,Brighton,"34 years, 214 days",2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Jack Stephens,ENG,Southampton,"31 years, 052 days",8.9,0,2,0,0.0,0.22,0.0,0.0,,7.9,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Defender,
Raheem Sterling,ENG,Arsenal,"30 years, 102 days",3.4,0,9,0,0.0,2.61,0.0,0.0,,15.3,2,0,0,1.0,1.0,0.11,-1.0,-1.0,Forward,Midfielder
Ross Stewart,SCO,Southampton,"28 years, 252 days",1.5,0,2,0,0.0,1.36,0.0,0.0,,12.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Forward,Midfielder
Jakub Stolarczyk,POL,Leicester City,"24 years, 091 days",6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
John Stones,ENG,Manchester City,"30 years, 296 days",6.1,2,2,2,100.0,0.33,0.33,1.0,1.0,5.1,0,0,0,0.4,0.4,0.22,1.6,1.6,Defender,Midfielder
Jørgen Strand Larsen,NOR,Wolves,"25 years, 042 days",23.0,9,39,26,66.7,1.7,1.13,0.23,0.35,12.1,0,0,0,6.6,6.6,0.17,2.4,2.4,Forward,
Yukinari Sugawara,JPN,Southampton,"24 years, 265 days",16.0,1,12,4,33.3,0.75,0.25,0.08,0.25,19.2,1,0,0,0.4,0.4,0.04,0.6,0.6,Defender,Midfielder
Kamaldeen Sulemana,GHA,Southampton,"23 years, 033 days",8.2,1,14,5,35.7,1.7,0.61,0.07,0.2,18.7,0,0,0,0.9,0.9,0.06,0.1,0.1,Forward,Midfielder
Crysencio Summerville,NED,West Ham,"23 years, 141 days",8.7,1,14,4,28.6,1.6,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Forward,Midfielder
Sammie Szmodics,IRL,Ipswich Town,"29 years, 177 days",10.9,4,21,12,57.1,1.93,1.1,0.19,0.33,14.0,0,0,0,3.4,3.4,0.16,0.6,0.6,Forward,Midfielder
Dominik Szoboszlai,HUN,Liverpool,"24 years, 146 days",21.7,5,55,17,30.9,2.53,0.78,0.09,0.29,17.9,1,0,0,6.7,6.7,0.12,-1.7,-1.7,Midfielder,
Matt Targett,ENG,Newcastle Utd,"29 years, 183 days",0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
James Tarkowski,ENG,Everton,"32 years, 121 days",28.9,1,14,4,28.6,0.48,0.14,0.07,0.25,8.6,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Defender,
